,XS_Name
0,b'Old River        Floodplain       60845.5'
1,b'Old River        Floodplain       58245.36'
2,b'Old River        Floodplain       54806.34'
3,b'Old River        Floodplain       50852.16'
4,b'Old River        Floodplain       46784.34'
5,b'Old River        Floodplain       40846.89'
6,b'Old River        Floodplain       35199.35'
7,b'Old River        Floodplain       29646.82'
8,b'Old River        Floodplain       24875.9'
9,b'Old River        Floodplain       21206.11'
10,b'Old River        Floodplain       18533.13'
11,b'Old River        Floodplain       15726.41'
12,b'Old River        Floodplain       12625.53'
13,b'Old River        Floodplain       10165.35'
14,b'Old River        Floodplain       8148.89'
15,b'Old River        Floodplain       5678.688'
16,b'Old River        Floodplain       3411.164'
17,b'Old River        Floodplain       1630.124'
18,b'Old River        Floodplain       1380.124'
19,b'Cat Island       Floodplain       68138.2'
20,b'Cat Island       Floodplain       65410.54'
21,b'Cat Island       Floodplain       62784.49'
22,b'Cat Island       Floodplain       59813.29'
23,b'Cat Island       Floodplain       52835.98'
24,b'Cat Island       Floodplain       48474.23'
25,b'Cat Island       Floodplain       43256.38'
26,b'Cat Island       Floodplain       38803.02'
27,b'Cat Island       Floodplain       33870.23'
28,b'Cat Island       Floodplain       29139.01'
29,b'Cat Island       Floodplain       24858.11'
30,b'Cat Island       Floodplain       21217.2'
31,b'Cat Island       Floodplain       17328.15'
32,b'Cat Island       Floodplain       13606.91'
33,b'Cat Island       Floodplain       9218.05'
34,b'Cat Island       Floodplain       5539.623'
35,b'Cat Island       Floodplain       2002.5'
36,b'Cat Island       Floodplain       1752.5'
37,b'Devils Swamp     Floodplain       50087.34'
38,b'Devils Swamp     Floodplain       47767.52'
39,b'Devils Swamp     Floodplain       45297.09'
40,b'Devils Swamp     Floodplain       42807.45'
41,b'Devils Swamp     Floodplain       40634.82'
42,b'Devils Swamp     Floodplain       38629.9'
43,b'Devils Swamp     Floodplain       36723.25'
44,b'Devils Swamp     Floodplain       34110.45'
45,b'Devils Swamp     Floodplain       32566.68'
46,b'Devils Swamp     Floodplain       30784.81'
47,b'Devils Swamp     Floodplain       29364.94'
48,b'Devils Swamp     Floodplain       27637.65'
49,b'Devils Swamp     Floodplain       26562.01'
50,b'Devils Swamp     Floodplain       24182.61'
51,b'Devils Swamp     Floodplain       22465.96'
52,b'Devils Swamp     Floodplain       20677.53'
53,b'Devils Swamp     Floodplain       18627.01'
54,b'Devils Swamp     Floodplain       16357.1'
55,b'Devils Swamp     Floodplain       14136.26'
56,b'Devils Swamp     Floodplain       12060.82'
57,b'Devils Swamp     Floodplain       9955.925'
58,b'Devils Swamp     Floodplain       7819.934'
59,b'Devils Swamp     Floodplain       5925.064'
60,b'Devils Swamp     Floodplain       4605.581'
61,b'Devils Swamp     Floodplain       3126.253'
62,b'Devils Swamp     Floodplain       1736.106'
63,b'Devils Swamp     Floodplain       1486.106'
64,b'Fancy Point      Floodplain       35616.55'
65,b'Fancy Point      Floodplain       34249.65'
66,b'Fancy Point      Floodplain       32875.35'
67,b'Fancy Point      Floodplain       31568.82'
68,b'Fancy Point      Floodplain       30279.07'
69,b'Fancy Point      Floodplain       28536.23'
70,b'Fancy Point      Floodplain       26874.86'
71,b'Fancy Point      Floodplain       25178.72'
72,b'Fancy Point      Floodplain       23838.34'
73,b'Fancy Point      Floodplain       21759.18'
74,b'Fancy Point      Floodplain       19375.88'
75,b'Fancy Point      Floodplain       16822.7'
76,b'Fancy Point      Floodplain       13848.72'
77,b'Fancy Point      Floodplain       10885.25'
78,b'Fancy Point      Floodplain       8218.867'
79,b'Fancy Point      Floodplain       5967.035'
80,b'Fancy Point      Floodplain       4120.477'
81,b'Fancy Point      Floodplain       3017.418'
82,b'Fancy Point      Floodplain       2767.418'
83,b'Gar Pond         Floodplain       19603.45'
84,b'Gar Pond         Floodplain       18620.15'
85,b'Gar Pond         Floodplain       17825.54'
86,b'Gar Pond         Floodplain       16894.45'
87,b'Gar Pond         Floodplain       15837.73'
88,b'Gar Pond         Floodplain       14804.91'
89,b'Gar Pond         Floodplain       13523.07'
90,b'Gar Pond         Floodplain       11770.74'
91,b'Gar Pond         Floodplain       9721.635'
92,b'Gar Pond         Floodplain       7729.839'
93,b'Gar Pond         Floodplain       5609.779'
94,b'Gar Pond         Floodplain       3703.645'
95,b'Gar Pond         Floodplain       1991.181'
96,b'Gar Pond         Floodplain       1741.181'
97,b'Hermitage        Floodplain       20603.53'
98,b'Hermitage        Floodplain       19081.52'
99,b'Hermitage        Floodplain       17354.91'
100,b'Hermitage        Floodplain       15379.72'
101,b'Hermitage        Floodplain       12874.43'
102,b'Hermitage        Floodplain       10176.31'
103,b'Hermitage        Floodplain       7276.115'
104,b'Hermitage        Floodplain       4885.783'
105,b'Hermitage        Floodplain       2111.794'
106,b'Hermitage        Floodplain       1861.794'
107,b'Mississippi      Mainstem 7       1714567'
108,b'Mississippi      Mainstem 7       1711160'
109,b'Mississippi      Mainstem 7       1707535'
110,b'Mississippi      Mainstem 7       1704448'
111,b'Mississippi      Mainstem 7       1700803'
112,b'Mississippi      Mainstem 7       1698506'
113,b'Mississippi      Mainstem 7       1695144'
114,b'Mississippi      Mainstem 7       1692283'
115,b'Mississippi      Mainstem 7       1688062'
116,b'Mississippi      Mainstem 7       1684000'
117,b'Mississippi      Mainstem 7       1679081'
118,b'Mississippi      Mainstem 7       1674392'
119,b'Mississippi      Mainstem 7       1670754'
120,b'Mississippi      Mainstem 7       1666848'
121,b'Mississippi      Mainstem 7       1662505'
122,b'Mississippi      Mainstem 7       1657148'
123,b'Mississippi      Mainstem 7       1652306'
124,b'Mississippi      Mainstem 7       1647993'
125,b'Mississippi      Mainstem 7       1643709'
126,b'Mississippi      Mainstem 7       1639492'
127,b'Mississippi      Mainstem 7       1635471'
128,b'Mississippi      Mainstem 7       1631172'
129,b'Mississippi      Mainstem 7       1626514'
130,b'Mississippi      Mainstem 7       1621919'
131,b'Mississippi      Mainstem 7       1617158'
132,b'Mississippi      Mainstem 7       1612541'
133,b'Mississippi      Mainstem 6       1608533'
134,b'Mississippi      Mainstem 6       1605223'
135,b'Mississippi      Mainstem 6       1601193'
136,b'Mississippi      Mainstem 6       1597577'
137,b'Mississippi      Mainstem 6       1593962'
138,b'Mississippi      Mainstem 6       1590955'
139,b'Mississippi      Mainstem 6       1587648'
140,b'Mississippi      Mainstem 6       1584844'
141,b'Mississippi      Mainstem 6       1581103'
142,b'Mississippi      Mainstem 6       1577561'
143,b'Mississippi      Mainstem 6       1573491'
144,b'Mississippi      Mainstem 6       1569794'
145,b'Mississippi      Mainstem 6       1566324'
146,b'Mississippi      Mainstem 6       1562906'
147,b'Mississippi      Mainstem 6       1559314'
148,b'Mississippi      Mainstem 6       1555411'
149,b'Mississippi      Mainstem 6       1551174'
150,b'Mississippi      Mainstem 6       1547652'
151,b'Mississippi      Mainstem 6       1544324'
152,b'Mississippi      Mainstem 6       1541145'
153,b'Mississippi      Mainstem 6       1538026'
154,b'Mississippi      Mainstem 6       1533894'
155,b'Mississippi      Mainstem 5       1529592'
156,b'Mississippi      Mainstem 5       1526000'
157,b'Mississippi      Mainstem 5       1522984'
158,b'Mississippi      Mainstem 5       1518996'
159,b'Mississippi      Mainstem 5       1514842'
160,b'Mississippi      Mainstem 5       1511532'
161,b'Mississippi      Mainstem 5       1507648'
162,b'Mississippi      Mainstem 5       1504006'
163,b'Mississippi      Mainstem 5       1500327'
164,b'Mississippi      Mainstem 5       1496632'
165,b'Mississippi      Mainstem 5       1492162'
166,b'Mississippi      Mainstem 5       1488866'
167,b'Mississippi      Mainstem 5       1483478'
168,b'Mississippi      Mainstem 5       1478109'
169,b'Mississippi      Mainstem 5       1472836'
170,b'Mississippi      Mainstem 4       1468295'
171,b'Mississippi      Mainstem 4       1464640'
172,b'Mississippi      Mainstem 4       1461636'
173,b'Mississippi      Mainstem 4       1458386'
174,b'Mississippi      Mainstem 4       1455727'
175,b'Mississippi      Mainstem 4       1452649'
176,b'Mississippi      Mainstem 4       1448770'
177,b'Mississippi      Mainstem 4       1444880'
178,b'Mississippi      Mainstem 3       1440398'
179,b'Mississippi      Mainstem 3       1435334'
180,b'Mississippi      Mainstem 3       1431274'
181,b'Mississippi      Mainstem 3       1427973'
182,b'Mississippi      Mainstem 3       1424641'
183,b'Mississippi      Mainstem 3       1422071'
184,b'Mississippi      Mainstem 3       1418791'
185,b'Mississippi      Mainstem 3       1414770'
186,b'Mississippi      Mainstem 3       1410935'
187,b'Mississippi      Mainstem 3       1407427'
188,b'Mississippi      Mainstem 3       1403893'
189,b'Mississippi      Mainstem 3       1399212'
190,b'Mississippi      Mainstem 3       1394303'
191,b'Mississippi      Mainstem 2       1388836'
192,b'Mississippi      Mainstem 2       1384562'
193,b'Mississippi      Mainstem 2       1380103'
194,b'Mississippi      Mainstem 2       1375715'
195,b'Mississippi      Mainstem 2       1371504'
196,b'Mississippi      Mainstem 2       1367282'
197,b'Mississippi      Mainstem 2       1363810'
198,b'Mississippi      Mainstem 1       1360738'
199,b'Mississippi      Mainstem 1       1357494'
200,b'Mississippi      Mainstem 1       1354730'
201,b'Mississippi      Mainstem 1       1350764'
202,b'Mississippi      Mainstem 1       1346248'
203,b'Mississippi      Mainstem 1       1342220'
204,b'Mississippi      Mainstem 1       1338120'
205,b'Mississippi      Mainstem 1       1333367'
206,b'Mississippi      Mainstem 1       1328764'
207,b'Mississippi      Mainstem 1       1324825'
208,b'Mississippi      Mainstem 1       1320382'
